aparencia,pH,turbidez,qualidade
0.0,0.0,0.0,22.592592592592595
0.0,0.0,1.1111111111111112,23.439114188372347
0.0,0.0,2.2222222222222223,22.592592592592595
0.0,0.0,3.3333333333333335,22.592592592592595
0.0,0.0,4.444444444444445,22.67810159886664
0.0,0.0,5.555555555555555,22.678101598866643
0.0,0.0,6.666666666666667,22.592592592592595
0.0,0.0,7.777777777777779,22.592592592592595
0.0,0.0,8.88888888888889,22.592592592592595
0.0,0.0,10.0,22.592592592592595
0.0,1.5555555555555556,0.0,22.592592592592595
0.0,1.5555555555555556,1.1111111111111112,23.439114188372347
0.0,1.5555555555555556,2.2222222222222223,22.592592592592595
0.0,1.5555555555555556,3.3333333333333335,22.592592592592595
0.0,1.5555555555555556,4.444444444444445,22.67810159886664
0.0,1.5555555555555556,5.555555555555555,22.678101598866643
0.0,1.5555555555555556,6.666666666666667,22.592592592592595
0.0,1.5555555555555556,7.777777777777779,22.592592592592595
0.0,1.5555555555555556,8.88888888888889,22.592592592592595
0.0,1.5555555555555556,10.0,22.592592592592595
0.0,3.111111111111111,0.0,22.592592592592595
0.0,3.111111111111111,1.1111111111111112,23.439114188372347
0.0,3.111111111111111,2.2222222222222223,22.592592592592595
0.0,3.111111111111111,3.3333333333333335,22.592592592592595
0.0,3.111111111111111,4.444444444444445,22.67810159886664
0.0,3.111111111111111,5.555555555555555,22.678101598866643
0.0,3.111111111111111,6.666666666666667,22.592592592592595
0.0,3.111111111111111,7.777777777777779,22.592592592592595
0.0,3.111111111111111,8.88888888888889,22.592592592592595
0.0,3.111111111111111,10.0,22.592592592592595
0.0,4.666666666666667,0.0,22.592592592592595
0.0,4.666666666666667,1.1111111111111112,23.439114188372347
0.0,4.666666666666667,2.2222222222222223,22.592592592592595
0.0,4.666666666666667,3.3333333333333335,22.592592592592595
0.0,4.666666666666667,4.444444444444445,22.67810159886664
0.0,4.666666666666667,5.555555555555555,22.678101598866643
0.0,4.666666666666667,6.666666666666667,22.592592592592595
0.0,4.666666666666667,7.777777777777779,22.592592592592595
0.0,4.666666666666667,8.88888888888889,22.592592592592595
0.0,4.666666666666667,10.0,22.592592592592595
0.0,6.222222222222222,0.0,60.0
0.0,6.222222222222222,1.1111111111111112,59.999999999999986
0.0,6.222222222222222,2.2222222222222223,60.0
0.0,6.222222222222222,3.3333333333333335,60.0
0.0,6.222222222222222,4.444444444444445,58.060744640506854
0.0,6.222222222222222,5.555555555555555,23.73405350584693
0.0,6.222222222222222,6.666666666666667,22.592592592592595
0.0,6.222222222222222,7.777777777777779,22.592592592592595
0.0,6.222222222222222,8.88888888888889,22.592592592592595
0.0,6.222222222222222,10.0,22.592592592592595
0.0,7.777777777777778,0.0,87.33333333333331
0.0,7.777777777777778,1.1111111111111112,86.53377470734983
0.0,7.777777777777778,2.2222222222222223,87.33333333333331
0.0,7.777777777777778,3.3333333333333335,87.33333333333331
0.0,7.777777777777778,4.444444444444445,82.84631981960062
